[685776]: 81881ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1128 StartRecognizing
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1129 [0x10f1a7400]CSpxAudioStreamSession::StartRecognizing
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3430 [0x10f1a7400]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 3/1
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1171 [0x10f1a7400]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[685776]: 81881ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3011 StartAudioPump
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3012 [0x10f1a7400]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 3 | m_audioPump [0x15de7b0a8]
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1398 [0x10f1a7400]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1409 [0x10f1a7400]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 09ff2879fd3544798bbfe7cc297c09a5
[685776]: 81881ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [713896]
[713896]: 81881ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1692 DispatchEvent task started...
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0x10f1a7488; name='SPEECH-SegmentationMaximumTimeMs'; value='0'
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0x10f1a7488; name='SPEECH-MaxBufferSizeMs'; value='66000'
[713896]: 81881ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxSessionEventArgs' as '418547108'
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0x10f1a7488; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0x10f1a7488; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:106 [0x15d9e02a0] Is VAD Gating = 0, Is RNNT reco engine = 0, Is conversation transcriber = 0, Is meeting transcriber = 0, Is async transcriber  = 0, fastLane = 5000 msec (160000 bytes), maxDuration = 66000 msec, highDuration = 33000 msec, lowDuration = 5940 msec, lowRate = 100%, highRate = 200%
[713896]: 81881ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1692 DispatchEvent task complete!
[685776]: 81881ms SPX_DBG_TRACE_FUNCTION:  audio_buffer.cpp:92 NewTurn
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxPropertyBagImpl::SetStringValue: this=0x10f1a7488; name='IsKeywordAndSpeechRecognizer'; value='false'
[685776]: 81881ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2697 EnsureInitRecoEngineAdapter
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:2701 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter EnsureResetEngineEngineAdapterComplete
[685776]: 81881ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2806 EnsureResetEngineEngineAdapterComplete
[685776]: 81881ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2725 InitRecoEngineAdapter
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxUspRecoEngineAdapterRetry_OffsetFixupWrapper' as '806006714'
[685776]: 81881ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3098 [0x10f1a7400]CSpxAudioStreamSession::StartAudioPump: Starting pump[0x15de7b0a8]...
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxBufferData' as '705421989'
[685776]: 81882ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [0x15d9c8c10]CSpxBufferData::EnsureInitRingBuffer - Init
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0x10f1a7488; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0x10f1a7488; name='AudioConfig_SampleRateForCapture'; value='16000'
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0x10f1a7488; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:111 [0x15d9b7a90]CSpxAudioPump::StartPump():
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:534 [0x15d9b7a90]CSpxAudioPump::WaitForPumpStart() ... pre m_cv.wait_for()
[340038]: 81882ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_pump.cpp:173 *** AudioPump THREAD started! ***
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:176 [0x15d9b7a90]CSpxAudioPump::PumpThread(): getting format from reader... 
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:186 CSpxAudioPump::PumpThread(): setting format on processor...
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:208 [0x15d9b7a90]CSpxAudioPump::PumpThread(): allocating our first buffer
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:287 [0x15d9b7a90]CSpxAudioPump::PumpThread(): Starting loop ... => frame size: 3200 | wFormatTag: 'PCM'| nChannels: 1 | nSamplesPerSec:  16000 | nAvgBytesPerSec: 32000 | nBlockAlign: 2 | wBitsPerSample: 16 | cbSize: 0 
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:252 [0x15d9b7a90]CSpxAudioPump::PumpThread(), checkAndChangeState: changing states as requested: 'Idle' => 'Processing'
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:540 [0x15d9b7a90]CSpxAudioPump::WaitForPumpStart() ... post m_cv.wait_for(); state='Processing' (requestedState='Processing')
[685776]: 81882ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3011 StartAudioPump
[685776]: 81882ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1128 StartRecognizing
[340038]: 81882ms SPX_TRACE_INFO:  wav_file_reader.cpp:256 AUDIO Data Chunk @44 length=122880
[685776]: 81882ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:874 *** CSpxAudioStreamSession::RecognizeAsync kicked-off THREAD stopped ***
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:403 [0x10f1a7400]CSpxAudioStreamSession::SetFormat: format != nullptr
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3430 [0x10f1a7400]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 3/1 => 3/2
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:408 [0x10f1a7400]CSpxAudioStreamSession::SetFormat: Now ProcessingAudio ...
[685776]: 81882ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3243 InformAdapterSetFormatStarting
[685776]: 81882ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxUspRecoEngineAdapterRetry' as '806006714'
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxBufferProperties' as '809583448'
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxReadWriteRingBuffer' as '956428994'
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxReadWriteRingBuffer' as '956428994'
[340038]: 81882ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9023140Z, size:3200.
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 3200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81882ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9023930Z, size:3200.
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 6400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81882ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81882ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9024110Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 9600, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9024280Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 12800, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9024450Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 16000, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9024610Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 19200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9024830Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 22400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9024980Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 25600, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9025130Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[685776]: 81883ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter_retry.cpp:22 InitDelegatePtr
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 28800, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[685776]: 81883ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter
[685776]: 81883ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:50 CSpxUspRecoEngineAdapter: this=0x0x15e4cead0
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[685776]: 81883ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter
[685776]: 81883ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxUspRecoEngineAdapter' as '806006714'
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9025380Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 32000, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9025620Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 35200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9025810Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 38400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9025950Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 41600, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9026100Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 44800, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9026260Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 48000, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9026410Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0x15d9e02a0] m_bytesTransited = 51200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0x15d9b7a90]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[340038]: 81883ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-04-17T05:15:06.9026560Z, size:3200.
[340038]: 81883ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
